ticker,name,sector,Earnings_expectation,irv_status,capm_status,esg_status,current_price,annu_return_10y,market_cap,marketcap_cat,beta,eps_ttm,growth_estimate_5y,pe_forward,pe_trailing,irv_FairValue,ESG_risk,capm_expected_return
A,"Agilent Technologies, Inc.",Healthcare,,,,,131.61,0.1682285641528536,39531171840,,1.04,3.94,0.12369999999999999,28.002129,33.403553,,15.33,
AAL,"American Airlines Group, Inc.",Industrials,,,,,17.768,0.09426906667773437,11508831232,,1.64,-3.095,-1.051,8.225925,,,29.22,
AAP,Advance Auto Parts Inc.,Consumer Cyclical,,,,,214.15,0.10339811046923009,13084050432,,1.25,9.55,0.1525,13.932986,22.424082,,12.97,
AAPL,Apple Inc.,Technology,,,,,165.93,0.2670360913517351,2707877789696,,1.19,6.015,0.1485,25.294207,27.586035,,16.27,
ABBV,AbbVie Inc.,Healthcare,,,,,144.48,0.19632872708327942,255548981248,,0.8,6.45,0.040999999999999995,11.775061,22.4,,28.01,
ABC,AmerisourceBergen Corporation,Healthcare,,,,,140.595,0.16256955893104497,29403615232,,0.48,7.712,0.10339999999999999,12.151686,18.23068,,12.69,
ABMD,"ABIOMED, Inc.",Healthcare,,,,,298.53,0.30190077726064146,13587951616,,1.36,2.909,0.0584,64.61688,102.622894,,,
ABT,Abbott Laboratories,Healthcare,,,,,118.29,0.18117949333025307,209171038208,,0.74,3.94,0.1318,22.92442,30.022842,,25.96,
ACN,Accenture plc,Technology,,,,,323.905,0.20883640806141557,204708298752,,1.21,9.613,0.11349999999999999,31.025385,33.694477,,9.45,
ADBE,Adobe Inc.,Technology,,,,,446.08,0.299082231602098,210704990208,,1.01,10.02,0.1535,27.417332,44.51896,,10.78,
ADI,"Analog Devices, Inc.",Technology,,,,,162.01,0.17774024594459448,85180809216,,1.11,2.909,0.1478,17.84251,55.692677,,23.82,
ADM,Archer-Daniels-Midland Company,Consumer Defensive,,,,,76.985,0.12281546478023465,43278426112,,0.81,4.79,0.066,14.804809,16.072025,,36.42,
ADP,"Automatic Data Processing, Inc.",Industrials,,,,,201.01,0.18270831084861894,84433240064,,0.83,6.46,0.1371,26.48353,31.116098,,14.18,
ADSK,"Autodesk, Inc.",Technology,,,,,217.38,0.1909972055534983,47817732096,,1.43,5.928,0.2883,31.967648,36.67004,,15.45,
AEE,Ameren Corporation,Utilities,,,,,84.6803,0.14223268996283056,21822111744,,0.35,3.84,0.079,19.51159,22.052162,,29.05,
AEP,American Electric Power Company,Utilities,,,,,85.56,0.11992696256520109,42471129088,,0.35,4.762,0.057,17.25,17.96724,,30.55,
AES,The AES Corporation,Utilities,,,,,21.225,0.0741456413644197,14151004160,,0.86,0.769,0.0745,13.021473,27.60078,,35.05,
AFL,AFLAC Incorporated,Financial Services,,,,,63.05,0.13148458735809432,41116921856,,0.93,6.39,0.0316,11.484518,9.86698,,17.3,
AIG,"American International Group, I",Financial Services,,,,,62.36,0.10410603051963108,50808311808,,1.33,10.82,0.3069,10.139837,5.7634015,,27.39,
AIZ,"Assurant, Inc.",Financial Services,,,,,166.4,0.16667526081665418,9480922112,,0.63,22.826,0.17,11.885714,7.2899323,,24.57,
AJG,Arthur J. Gallagher & Co.,Financial Services,,,,,154.575,0.19332664761701968,32221775872,,0.71,4.37,0.11599999999999999,22.467297,35.371853,,21.79,
AKAM,"Akamai Technologies, Inc.",Technology,,,,,100.94,0.10607126147556013,16251340800,,0.54,3.93,0.12,15.340426,25.684479,,19.94,
ALB,Albemarle Corporation,Basic Materials,,,,,196.791,0.12895089310980246,23019823104,,,1.06,0.2983,23.824575,185.6519,,29.4,
ALGN,"Align Technology, Inc.",Healthcare,,,,,506.055,0.3409292235634125,39904006144,,1.67,9.69,0.4325,32.356457,52.22446,,,
ALK,"Alaska Air Group, Inc.",Industrials,,,,,58.975,0.1416971807364471,7425659904,,1.55,3.77,-0.23399999999999999,9.073076,15.643236,,,
ALL,Allstate Corporation (The),Financial Services,,,,,124.91,0.1726265944266261,35808698368,,,10.83,-0.05,11.76177,11.533703,,20.84,
ALLE,Allegion plc,Industrials,,,,,114.1447,0.09717982839052543,10238312448,,1.14,5.086,0.07769999999999999,19.955368,22.442923,,23.59,
AMAT,"Applied Materials, Inc.",Technology,,,,,132.9797,0.28476235606039024,118154199040,,1.38,6.4,0.1654,15.025955,20.778078,,11.6,
AMCR,Amcor plc,Consumer Cyclical,,,,,11.715,0.07843455575750058,17961086976,,0.43,0.607,0.06280000000000001,13.946429,19.299835,,,
AMD,"Advanced Micro Devices, Inc.",Technology,,,,,117.11,0.3190335859160902,141423198208,,1.95,3.242,0.3532,35.062874,36.122765,,,
AME,"AMETEK, Inc.",Industrials,,,,,128.28,0.15556831597333676,29674369024,,1.31,3.99,-0.012,23.79963,32.150375,,25.95,
AMGN,Amgen Inc.,Healthcare,,,,,221.025,0.15268402719317797,124495863808,,0.64,9.701,0.0592,12.31337,22.783733,,18.95,
AMP,"Ameriprise Financial, Inc.",Financial Services,,,,,299.9,0.2123754714242829,33555810304,,1.61,18.396,0.2518,12.171267,16.302456,,22.63,
AMT,American Tower Corporation (REI,Real Estate,,,,,228.36,0.157656166739097,103998341120,,0.34,5.507,0.16579999999999998,41.824177,41.467224,,10.87,
AMZN,"Amazon.com, Inc.",Consumer Cyclical,,,,,3032.8,0.3267586108075551,1538078539776,,1.13,51.099,0.36,58.855038,59.351456,,30.03,
ANET,"Arista Networks, Inc.",Technology,,,,,124.13,0.24789832291067815,38145146880,,1.17,2.463,0.1827,36.0843,50.39789,,17.8,
ANSS,"ANSYS, Inc.",Technology,,,,,305.4575,0.16329231306677272,26652082176,,1.24,5.318,0.1118,38.470715,57.438416,,13.16,
ANTM,"Anthem, Inc.",Healthcare,,,,,445.0,0.2291896505606983,108008177664,,1.05,22.228,0.1338,15.532287,20.019794,,11.59,
AON,Aon plc,Financial Services,,,,,283.36,0.20816800157346152,62433271808,,0.89,4.013,0.1421,21.663607,70.61051,,,
AOS,A.O. Smith Corporation,Industrials,,,,,71.15,0.21788844862986287,11324376064,,1.13,2.89,0.08,20.504324,24.619377,,25.2,
APD,"Air Products and Chemicals, Inc",Basic Materials,,,,,238.23,0.1419721007081216,52811780096,,0.8,9.436,0.12960000000000002,20.274893,25.246927,,10.81,
APH,Amphenol Corporation,Technology,,,,,75.735,0.19562838623429912,45291655168,,1.26,2.38,0.14400000000000002,28.365168,31.821426,,21.6,
APTV,Aptiv PLC,Consumer Cyclical,,,,,139.98,0.1973225917904342,37866545152,,2.1,2.941,0.46259999999999996,30.364424,47.596054,,13.49,
